Season,Ranking,Team,Points_per_game,Season_average_points_per_team,Classified_to,Goal_difference_per_game,Competition
201516,8,Malaga,1.26,1.3789,3,0.08,La Liga
201516,9,Real Sociedad,1.26,1.3789,3,-0.08,La Liga
201516,10,Betis,1.18,1.3789,3,-0.47,La Liga
201516,11,Las Palmas,1.16,1.3789,3,-0.21,La Liga
201516,12,Valencia,1.16,1.3789,3,-0.05,La Liga
201516,13,Espanyol,1.13,1.3789,3,-0.89,La Liga
201516,14,Eibar,1.13,1.3789,3,-0.32,La Liga
201516,15,La Coruna,1.11,1.3789,3,-0.42,La Liga
201516,16,Granada,1.03,1.3789,3,-0.61,La Liga
201516,17,Sporting Gijon,1.03,1.3789,3,-0.58,La Liga
201516,18,Rayo Vallecano,1,1.3789,4,-0.55,Relegation
201516,19,Getafe,0.95,1.3789,4,-0.79,Relegation
201516,20,Levante,0.84,1.3789,4,-0.87,Relegation
201415,1,Barcelona,2.47,1.3763,1,2.34,Champions League
201415,2,Real Madrid,2.42,1.3763,1,2.11,Champions League
201415,3,Atletico de Madrid,2.05,1.3763,1,1,Champions League
201415,4,Valencia,2.03,1.3763,1,1,Champions League
201415,5,Sevilla,2,1.3763,2,0.68,Other Europe
201415,6,Villarreal,1.58,1.3763,2,0.29,Other Europe
201415,7,Athletic Club,1.45,1.3763,3,0.03,La Liga
201415,8,Celta Vigo,1.34,1.3763,3,0.08,La Liga
201415,9,Malaga,1.32,1.3763,3,-0.16,La Liga
201415,10,Espanyol,1.29,1.3763,3,-0.11,La Liga
201415,11,Rayo Vallecano,1.29,1.3763,3,-0.58,La Liga
201415,12,Real Sociedad,1.21,1.3763,3,-0.18,La Liga
201415,13,Elche,1.08,1.3763,3,-0.71,La Liga
201415,14,Levante,0.97,1.3763,3,-0.87,La Liga
201415,15,Getafe,0.97,1.3763,3,-0.82,La Liga
201415,16,La Coruna,0.92,1.3763,3,-0.66,La Liga
201415,17,Granada,0.92,1.3763,3,-0.92,La Liga
201415,18,Eibar,0.92,1.3763,4,-0.55,Relegation
201415,19,Almeria,0.76,1.3763,4,-0.76,Relegation
201415,20,Cordoba,0.53,1.3763,4,-1.21,Relegation
201314,1,Atletico de Madrid,2.37,1.3868,1,1.34,Champions League
201314,2,Barcelona,2.29,1.3868,1,1.76,Champions League
201314,3,Real Madrid,2.29,1.3868,1,1.74,Champions League
201314,4,Athletic Club,1.84,1.3868,1,0.71,Champions League
201314,5,Sevilla,1.66,1.3868,2,0.45,Other Europe
201314,6,Villarreal,1.55,1.3868,2,0.42,Other Europe
201314,7,Real Sociedad,1.55,1.3868,3,0.18,La Liga
201314,8,Valencia,1.29,1.3868,3,-0.05,La Liga
201314,9,Celta Vigo,1.29,1.3868,3,-0.13,La Liga
201314,10,Levante,1.26,1.3868,3,-0.21,La Liga
201314,11,Malaga,1.18,1.3868,3,-0.18,La Liga
201314,12,Rayo Vallecano,1.13,1.3868,3,-0.89,La Liga
201314,13,Getafe,1.11,1.3868,3,-0.5,La Liga
201314,14,Espanyol,1.11,1.3868,3,-0.26,La Liga
201314,15,Granada,1.08,1.3868,3,-0.63,La Liga
201314,16,Elche,1.05,1.3868,3,-0.53,La Liga
201314,17,Almeria,1.05,1.3868,3,-0.74,La Liga
201314,18,Osasuna,1.03,1.3868,4,-0.79,Relegation
201314,19,Valladolid,0.95,1.3868,4,-0.58,Relegation
201314,20,Betis,0.66,1.3868,4,-1.11,Relegation
201213,1,Barcelona,2.63,1.3895,1,1.97,Champions League
201213,2,Real Madrid,2.24,1.3895,1,1.61,Champions League
201213,3,Atletico de Madrid,2,1.3895,1,0.89,Champions League
201213,4,Real Sociedad,1.74,1.3895,1,0.55,Champions League
201213,5,Valencia,1.71,1.3895,2,0.34,Other Europe
201213,6,Malaga,1.5,1.3895,2,0.08,Other Europe
201213,7,Betis,1.47,1.3895,3,0.03,La Liga
201213,8,Rayo Vallecano,1.39,1.3895,3,-0.42,La Liga
201213,9,Sevilla,1.32,1.3895,3,0.11,La Liga
201213,10,Getafe,1.24,1.3895,3,-0.37,La Liga
201213,11,Levante,1.21,1.3895,3,-0.45,La Liga
201213,12,Athletic Club,1.18,1.3895,3,-0.55,La Liga
201213,13,Espanyol,1.16,1.3895,3,-0.24,La Liga
201213,14,Valladolid,1.13,1.3895,3,-0.24,La Liga
201213,15,Granada,1.11,1.3895,3,-0.45,La Liga
201213,16,Osasuna,1.03,1.3895,3,-0.45,La Liga
201213,17,Celta Vigo,0.97,1.3895,3,-0.39,La Liga
201213,18,Mallorca,0.95,1.3895,4,-0.76,Relegation
201213,19,La Coruna,0.92,1.3895,4,-0.61,Relegation
201213,20,Zaragoza,0.89,1.3895,4,-0.66,Relegation
201112,1,Real Madrid,2.63,1.3763,1,2.34,Champions League
201112,2,Barcelona,2.39,1.3763,1,2.24,Champions League
201112,3,Valencia,1.61,1.3763,1,0.39,Champions League
201112,4,Malaga,1.53,1.3763,1,0.03,Champions League
201112,5,Atletico de Madrid,1.47,1.3763,2,0.18,Other Europe
201112,6,Levante,1.45,1.3763,2,0.11,Other Europe
201112,7,Osasuna,1.42,1.3763,3,-0.45,La Liga
201112,8,Mallorca,1.37,1.3763,3,-0.11,La Liga
201112,9,Sevilla,1.32,1.3763,3,0.03,La Liga
201112,10,Athletic Club,1.29,1.3763,3,-0.08,La Liga
201112,11,Getafe,1.24,1.3763,3,-0.29,La Liga
201112,12,Real Sociedad,1.24,1.3763,3,-0.16,La Liga
201112,13,Betis,1.24,1.3763,3,-0.24,La Liga
201112,14,Espanyol,1.21,1.3763,3,-0.26,La Liga
201112,15,Rayo Vallecano,1.13,1.3763,3,-0.53,La Liga
201112,16,Zaragoza,1.13,1.3763,3,-0.66,La Liga
201112,17,Granada,1.11,1.3763,3,-0.55,La Liga
201112,18,Villarreal,1.08,1.3763,4,-0.37,Relegation
201112,19,Sporting Gijon,0.97,1.3763,4,-0.71,Relegation
201112,20,Racing Santander,0.71,1.3763,4,-0.92,Relegation
